system_type,image_file,blur_radius,run_num,final_conclusion,final_confidence,word_count,processing_time
MAS,blurred_dataset\secondTestImage_blur_0.jpg,0,1,"The image captures a narrow urban alleyway densely covered in graffiti art, featuring a varied color palette that creates a visually busy and energetic atmosphere. The alleyway likely serves as a space for artistic expression and social gathering.",9,47,106.7408438
SAS,blurred_dataset\secondTestImage_blur_0.jpg,0,1,"The image shows a graffiti-covered alleyway in an urban environment, with people seated along the wall.",7,17,10.3398757
MAS,blurred_dataset\secondTestImage_blur_0.jpg,0,2,"The image depicts a narrow urban alleyway densely covered in graffiti art, showcasing a vibrant and diverse color palette. The scene suggests a space for artistic expression and gathering.",9,35,113.9270732
SAS,blurred_dataset\secondTestImage_blur_0.jpg,0,2,"The image most likely depicts a graffiti-covered alleyway, with figures present along one of the walls.",6,16,10.07048845
MAS,blurred_dataset\secondTestImage_blur_2.jpg,2,1,"The image depicts a narrow urban alleyway densely covered in graffiti art, with a diverse color palette creating a vibrant and energetic atmosphere. The scene suggests a space for artistic expression and social gathering.",9,37,186.8230507
SAS,blurred_dataset\secondTestImage_blur_2.jpg,2,1,The image depicts an alleyway covered in graffiti with two figures seated against a wall.,6,16,9.746141672
MAS,blurred_dataset\secondTestImage_blur_2.jpg,2,2,"The image portrays a narrow urban alleyway densely adorned with graffiti art, showcasing a diverse color palette. The scene suggests the alleyway serves as a space for artistic expression and social gathering.",9,36,239.1316175
SAS,blurred_dataset\secondTestImage_blur_2.jpg,2,2,The image most likely depicts a graffiti-filled alleyway with two people in an urban environment.,9,14,8.36172533
MAS,blurred_dataset\secondTestImage_blur_5.jpg,5,1,"The image portrays a narrow urban alleyway densely adorned with graffiti art, showcasing a varied color palette. The scene suggests the alleyway serves as a space for artistic expression and social gathering.",9,36,269.6180136
SAS,blurred_dataset\secondTestImage_blur_5.jpg,5,1,"The image most likely shows a graffiti-filled alleyway, with walls covered in colorful murals and tags.",6,18,8.976604939
MAS,blurred_dataset\secondTestImage_blur_5.jpg,5,2,"The image portrays a narrow urban alleyway densely covered in graffiti art, showcasing a diverse color palette. The scene suggests the alleyway serves as a space for artistic expression and social gathering.",9,36,313.0552702
SAS,blurred_dataset\secondTestImage_blur_5.jpg,5,2,"The image most likely shows a graffiti-covered alleyway with two individuals present, exhibiting the urban art often found in such locations.",6,24,9.174973965
MAS,blurred_dataset\secondTestImage_blur_10.jpg,10,1,"The image portrays a narrow urban alleyway densely covered in graffiti art, showcasing a varied color palette. The scene suggests the alleyway serves as a space for artistic expression and social gathering.",9,36,339.2804615
SAS,blurred_dataset\secondTestImage_blur_10.jpg,10,1,"The image most likely shows a narrow alleyway densely covered in graffiti art, with several people present towards the end of the alley.",4,22,7.893882275
MAS,blurred_dataset\secondTestImage_blur_10.jpg,10,2,"The image portrays a narrow urban alleyway densely covered in graffiti art, showcasing a diverse color palette. The scene suggests the alleyway serves as a space for artistic expression and social gathering.",9,36,949.0957537
SAS,blurred_dataset\secondTestImage_blur_10.jpg,10,2,"The image most likely depicts a graffiti-filled alleyway in an urban environment, potentially with people present in the distance.",5,20,7.396420479
MAS,blurred_dataset\secondTestImage_blur_15.jpg,15,1,"The image portrays a narrow urban alleyway densely covered in graffiti art, showcasing a diverse color palette. The scene suggests the alleyway serves as a space for artistic expression and social gathering.",9,36,409.1721413
SAS,blurred_dataset\secondTestImage_blur_15.jpg,15,1,"The image most likely depicts a graffiti-covered alleyway with potentially some people present in the distance, though heavily blurred.",4,21,6.845828056
MAS,blurred_dataset\secondTestImage_blur_15.jpg,15,2,"The image portrays a narrow urban alleyway densely covered in graffiti art, showcasing a diverse color palette. The scene suggests the alleyway serves as a space for artistic expression and social gathering.",9,36,404.9167082
SAS,blurred_dataset\secondTestImage_blur_15.jpg,15,2,"The image most likely shows a graffiti-covered alleyway, possibly with people present in the distance.",6,16,7.295176744
MAS,blurred_dataset\secondTestImage_blur_20.jpg,20,1,"The image depicts a narrow urban alleyway densely covered in graffiti art, showcasing a diverse color palette. The scene suggests a space for artistic expression and social gathering.",9,36,997.3702667
SAS,blurred_dataset\secondTestImage_blur_20.jpg,20,1,The image most likely depicts a graffiti-covered alleyway with people walking in the distance.,5,15,6.874492168
MAS,blurred_dataset\secondTestImage_blur_20.jpg,20,2,"The image depicts a narrow urban alleyway densely covered in graffiti art, showcasing a diverse color palette. The scene suggests the alleyway serves as a space for artistic expression and social gathering.",9,36,456.8034174
SAS,blurred_dataset\secondTestImage_blur_20.jpg,20,2,The image is most likely a blurred photo of a graffiti-filled alleyway with indistinct figures.,4,14,6.305314779
