system_type,image_file,blur_radius,run_num,final_conclusion,final_confidence,word_count,processing_time
MAS,blurred_dataset\thirdTestImage_blur_0.jpg,0,1,"The image most likely depicts a rainy day scene featuring the Flatiron Building in Toronto, as supported by architectural style, street layout, skyline density, and a possible 'CHURCH ST' street sign.",9,37,119.7506208
SAS,blurred_dataset\thirdTestImage_blur_0.jpg,0,1,"The image captures a rainy day in a city featuring the Flatiron Building, a pedestrian with an umbrella, and reflections in street puddles.",8,22,11.2251308
MAS,blurred_dataset\thirdTestImage_blur_0.jpg,0,2,"The image is most likely a rainy day scene in Toronto featuring the Flatiron Building, based on architectural style, surrounding buildings, and a possible 'CHURCH ST' street sign.",9,32,195.6678007
SAS,blurred_dataset\thirdTestImage_blur_0.jpg,0,2,"The image shows a rainy urban street scene featuring the Gooderham Building and a person with an umbrella, reflected in a puddle.",9,21,15.83342266
MAS,blurred_dataset\thirdTestImage_blur_2.jpg,2,1,"The image is most likely a rainy day scene in Toronto featuring the Flatiron Building, based on architectural style, surrounding buildings, and a possible 'CHURCH ST' street sign.",9,32,380.3350639
SAS,blurred_dataset\thirdTestImage_blur_2.jpg,2,1,"The image likely depicts a rainy street scene in a city, featuring a red brick building, a person with an umbrella, and reflections in the wet pavement.",6,23,16.00819016
MAS,blurred_dataset\thirdTestImage_blur_2.jpg,2,2,"The image is most likely a rainy day scene in Toronto featuring the Flatiron Building, based on architectural style, surrounding buildings, and a possible 'CHURCH ST' street sign.",9,32,443.9503205
SAS,blurred_dataset\thirdTestImage_blur_2.jpg,2,2,"The image is most likely a street scene in Toronto featuring the Gooderham Building on a rainy day, with a person walking across the street and reflections visible in puddles.",8,27,14.15424466
MAS,blurred_dataset\thirdTestImage_blur_5.jpg,5,1,"The image most likely depicts a rainy day scene featuring the Flatiron Building in Toronto, supported by architectural style, surrounding buildings, and a possible 'CHURCH ST' street sign.",9,32,503.4505398
SAS,blurred_dataset\thirdTestImage_blur_5.jpg,5,1,"The image likely depicts a rainy day in a city, featuring a distinctive red brick building reflected in the wet street, with a pedestrian crossing with an umbrella.",9,26,10.16887403
MAS,blurred_dataset\thirdTestImage_blur_5.jpg,5,2,"The image is most likely a rainy day scene in Toronto featuring the Flatiron Building, based on architectural style, surrounding buildings, and a possible 'CHURCH ST' street sign.",9,32,555.7911003
SAS,blurred_dataset\thirdTestImage_blur_5.jpg,5,2,The image shows a rainy city street with a reflection of a distinct brick building and a person with an umbrella.,9,17,9.547885418
MAS,blurred_dataset\thirdTestImage_blur_10.jpg,10,1,"Based on the architectural style, surrounding buildings, and a possible 'CHURCH ST' street sign, the image is most likely a rainy day scene in Toronto featuring the Flatiron Building.",9,32,475.5941122
SAS,blurred_dataset\thirdTestImage_blur_10.jpg,10,1,"The image likely shows a rainy city scene featuring a distinctive building and a person crossing the street with an umbrella, possibly in Toronto.",6,23,10.30993271
MAS,blurred_dataset\thirdTestImage_blur_10.jpg,10,2,"The image is most likely a rainy day scene in Toronto featuring the Flatiron Building, based on architectural style, surrounding buildings, and the North American feel of the image.",8,32,396.0788939
SAS,blurred_dataset\thirdTestImage_blur_10.jpg,10,2,"The image most likely depicts a city street scene on a rainy day, featuring a distinctive building with a conical roof, a person with an umbrella, and other buildings in the background.",5,27,10.45281816
MAS,blurred_dataset\thirdTestImage_blur_15.jpg,15,1,"The image is most likely a rainy day scene in Toronto featuring the Flatiron Building, based on architectural style, surrounding buildings, and the North American feel of the image.",8,32,418.8555868
SAS,blurred_dataset\thirdTestImage_blur_15.jpg,15,1,"The image likely shows a rainy day scene in a city, featuring a distinctive brick building with a turret and a person crossing the street with an umbrella.",6,24,8.65210247
MAS,blurred_dataset\thirdTestImage_blur_15.jpg,15,2,"The image is most likely a rainy day scene in Toronto featuring the Flatiron Building, based on architectural style, surrounding buildings, and the North American feel of the image.",8,32,450.3235109
SAS,blurred_dataset\thirdTestImage_blur_15.jpg,15,2,"The image most likely shows the Gooderham Building (Flatiron Building) in Toronto on a rainy day, with a person using an umbrella to cross a street.",6,25,9.675561905
MAS,blurred_dataset\thirdTestImage_blur_20.jpg,20,1,"Based on architectural style, surrounding buildings, and the North American feel of the image, the image is most likely a rainy day scene in Toronto featuring the Flatiron Building.",8,32,453.4323664
SAS,blurred_dataset\thirdTestImage_blur_20.jpg,20,1,"The image depicts a rainy urban scene with a prominent red brick building, its reflection on a wet street, and a person with an umbrella.",8,24,7.86435461
MAS,blurred_dataset\thirdTestImage_blur_20.jpg,20,2,"The image is most likely a rainy day scene in Toronto featuring the Flatiron Building, based on the architectural style, surrounding buildings, and the North American feel of the image.",8,32,477.4297035
SAS,blurred_dataset\thirdTestImage_blur_20.jpg,20,2,"The image most likely shows the Gooderham Building in Toronto on a rainy day, with a person crossing the street under an umbrella.",6,21,10.01658463
